iter	RMSE
188	148.1258109
189	148.0013056
190	147.9393406
191	147.8585359
192	147.7923202
193	147.7446206
194	147.6828011
195	147.6146918
196	147.5271573
197	147.4513263
198	147.3689493
199	147.2621829
200	147.2120985
201	147.0118988
202	146.9629691
203	146.8308249
204	146.6993339
205	146.6199338
206	146.5691025
207	146.4821447
208	146.3231743
209	146.2462181
210	146.1670642
211	146.0988419
212	146.0148211
213	145.9618202
214	145.8933964
215	145.8086605
216	145.6700682
217	145.5484894
218	145.4413871
219	145.3724963
220	145.2405594
221	145.1455866
222	145.0785742
223	144.9738106
224	144.8653461
225	144.7672718
226	144.6545463
227	144.5898235
228	144.5077686
229	144.455362
230	144.4016069
231	144.284383
232	144.1838485
233	144.1220043
234	144.0610307
235	143.9847049
236	143.9339329
237	143.8459658
238	143.77864
239	143.6842174
240	143.6359406
241	143.5592318
242	143.4321954
243	143.3221638
244	143.2326623
245	143.1355387
246	143.0561718
247	142.9779533
248	142.8754206
249	142.7782939
250	142.6917518
251	142.6298763
252	142.5847847
253	142.5058282
254	142.4388696
255	142.3560141
256	142.3113588
257	142.2232262
258	142.1392909
259	142.0973674
260	142.0259606
261	141.9418281
262	141.8008729
263	141.7251548
264	141.5935105
265	141.4870591
266	141.3948164
267	141.3023211
268	141.2441688
269	141.1030245
270	141.0239251
271	140.9742468
272	140.8795839
273	140.8478575
274	140.8072493
275	140.7789604
276	140.6842383
277	140.5637023
278	140.5067834
279	140.4608407
280	140.3575319
281	140.1884136
282	140.1025821
283	140.0494574
284	140.0081507
285	139.9754243
286	139.9012374
287	139.7313677
288	139.6541876
289	139.5778304
290	139.5299218
291	139.428538
292	139.3524103
293	139.3010854
294	139.1686249
295	139.0837543
296	138.9563342
297	138.8270117
298	138.7368284
299	138.6749794
300	138.6074179
301	138.5116128
302	138.4262247
303	138.3484221
304	138.2605571
305	138.1760858
306	138.1415521
307	138.0986534
308	138.0631094
309	137.9637817
310	137.8878322
311	137.8115888
312	137.7822679
313	137.7291078
314	137.6502456
315	137.5471085
316	137.4156785
317	137.3665396
318	137.3021722
319	137.1866181
320	137.098109
321	137.0786781
322	136.9852678
323	136.9552703
324	136.8626289
325	136.7501147
326	136.6829834
327	136.5579706
328	136.4834765
329	136.424836
330	136.3302902
331	136.2763057
332	136.2008392
333	136.1087083
334	136.031907
335	135.9946428
336	135.9313504
337	135.8605019
338	135.8075644
339	135.7223254
340	135.6626221
341	135.4965552
342	135.4594386
343	135.3879073
344	135.3614679
345	135.265356
346	135.2319191
347	135.1554442
348	135.1215804
349	135.0547257
350	135.0014809
351	134.9365163
352	134.8696296
353	134.7610729
354	134.678049
355	134.6587753
356	134.5726987
357	134.5097037
358	134.4497193
359	134.4088114
360	134.3563322
361	134.2789813
362	134.2271645
363	134.1559007
364	134.0280772
365	133.9968098
366	133.9216151
367	133.8496246
368	133.8228963
369	133.7169148
370	133.6594009
371	133.6203253
372	133.5557428
373	133.4738157
374	133.3760398
375	133.3070692
376	133.2367075
377	133.1832632
378	133.1088254
379	133.0780577
380	133.001607
381	132.8841776
382	132.8176673
383	132.7402143
384	132.6673221
385	132.5914625
386	132.5096469
387	132.4617637
388	132.4140243
389	132.3386664
390	132.2930183
391	132.2400808
392	132.1536785
393	132.1071738
394	132.0599317
395	131.9721972
396	131.9150184
397	131.8461083
398	131.8121737
399	131.7740396
400	131.6786648
401	131.6252136
402	131.5562784
403	131.4934857
404	131.4477813
405	131.418028
406	131.3183434
407	131.2896601
408	131.21299
409	131.1451262
410	131.0899036
411	131.0221889
412	130.981349
413	130.919892
414	130.7934107
415	130.7448062
416	130.623727
417	130.5805715
418	130.4976895
419	130.4703822
420	130.381864
421	130.336367
422	130.2289482
423	130.1630038
424	130.1232279
425	130.104871
426	130.0209029
427	129.9716878
428	129.9517608
429	129.9078725
430	129.8819722
431	129.832086
432	129.7412907
433	129.6861024
434	129.646598
435	129.5864192
436	129.5657171
437	129.455858
438	129.3751643
439	129.3596311
440	129.2770729
441	129.240663
442	129.1324501
443	129.0651661
444	129.024349
445	128.993097
446	128.9248278
447	128.8704269
448	128.7942118
449	128.708477
450	128.6017769
451	128.5630461
452	128.506193
453	128.480264
454	128.4622682
455	128.4096038
456	128.3931275
457	128.3060094
458	128.2731299
459	128.2405135
460	128.2047325
461	128.163744
462	128.1156586
463	128.053721
464	128.0314877
465	127.9925504
466	127.9320114
467	127.8521133
468	127.8129888
469	127.7653586
470	127.7189392
471	127.634355
472	127.5987938
473	127.5216275
474	127.487578
475	127.4709678
476	127.3984946
477	127.3398386
478	127.3028121
479	127.2535189
480	127.1757295
481	127.1077048
482	127.0732915
483	127.0235277
484	126.9686182
485	126.9205369
486	126.8772506
487	126.8288154
488	126.7889653
489	126.7327995
490	126.6888989
491	126.6634573
492	126.6263066
493	126.5521657
494	126.5037108
495	126.3917574
496	126.3278549
497	126.2759577
498	126.1967372
499	126.1308988
500	126.0475466
501	126.0212899
502	126.005265
503	125.9478401
504	125.8647084
505	125.8256455
506	125.7418585
507	125.705734
508	125.67279
509	125.6098496
510	125.5756087
511	125.5436685
512	125.5273663
513	125.4626087
514	125.3938659
515	125.3417014
516	125.2807433
517	125.2135561
518	125.1764375
519	125.1511715
520	125.0978362
521	125.0214113
522	124.9829495
523	124.9283689
524	124.8825715
525	124.8084345
526	124.7732317
527	124.6787861
528	124.6457959
529	124.6208621
530	124.5720725
531	124.5163288
532	124.4975288
533	124.4321551
534	124.3716003
535	124.343737
536	124.2395581
537	124.2058479
538	124.1726137
539	124.1445161
540	124.0863368
541	124.0209079
542	123.9883905
543	123.970495
544	123.9340675
545	123.8911573
546	123.8227439
547	123.8014154
548	123.7813113
549	123.7214835
550	123.6501363
551	123.6010906
552	123.5456183
553	123.520763
554	123.4747726
555	123.4132059
556	123.3548285
557	123.3275092
558	123.3098967
559	123.2785729
560	123.2119053
561	123.1694388
562	123.1443902
563	123.1251369
564	123.0640788
565	122.9941036
566	122.9573921
567	122.9398286
568	122.9021193
569	122.8877484
570	122.8258553
571	122.7864188
572	122.7381251
573	122.6849411
574	122.6229694
575	122.5839214
576	122.5293663
577	122.4675097
578	122.3918221
579	122.3359591
580	122.3132474
581	122.2634781
582	122.2227886
583	122.2065467
584	122.1541813
585	122.1011509
586	122.0418102
587	121.9838206
588	121.9494981
589	121.9029061
590	121.8676754
591	121.8188361
592	121.7887682
593	121.7322061
594	121.6993546
595	121.6620226
596	121.6208448
597	121.5682366
598	121.5555266
599	121.5334741
600	121.5009816
601	121.44953
602	121.4372349
603	121.3750058
604	121.3416234
605	121.3104687
606	121.2588933
607	121.2059033
608	121.1642033
609	121.1247911
610	121.0778555
611	121.066032
612	121.0422137
613	120.9905957
614	120.9510658
615	120.9103113
616	120.8662329
617	120.8190112
618	120.7753176
619	120.7467813
620	120.6943824
621	120.642433
622	120.612816
623	120.539476
624	120.4904323
625	120.4514424
626	120.3948462
627	120.3821352
628	120.3519069
629	120.3231345
630	120.3141936
631	120.2616013
632	120.2295666
633	120.19295
634	120.1408859
635	120.1043539
636	120.0690096
637	120.0292821
638	119.9907843
639	119.981598
640	119.9283371
641	119.8949568
642	119.8745339
643	119.8619659
644	119.8134432
645	119.7732839
646	119.716921
647	119.6822039
648	119.6376468
649	119.5909284
650	119.5568008
651	119.540486
652	119.4998515
653	119.461729
654	119.4070322
655	119.355358
656	119.3387985
657	119.2977196
658	119.2594122
659	119.2316172
660	119.1909801
661	119.1567886
662	119.109143
663	119.072748
664	119.046014
665	119.0020052
666	118.9807656
667	118.9513409
668	118.9044102
669	118.8627735
670	118.8071158
671	118.7606101
672	118.7127816
673	118.6816146
674	118.6676767
675	118.6191705
676	118.5968843
677	118.5473975
678	118.5109733
679	118.4741129
680	118.4593268
681	118.4512981
682	118.4221245
683	118.3726222
684	118.3455422
685	118.3099229
686	118.2718376
687	118.2520819
688	118.2196073
689	118.1792658
690	118.1709727
691	118.1441196
692	118.1230283
693	118.0925395
694	118.0552336
695	118.0476394
696	118.0140775
697	117.9933799
698	117.9596154
699	117.9085487
700	117.8855262
701	117.8435419
702	117.8157641
703	117.7834416
704	117.7592422
705	117.7195204
706	117.6708001
707	117.6309893
708	117.6171254
709	117.609318
710	117.5844792
711	117.5208141
712	117.4919404
713	117.4842583
714	117.4430816
715	117.4114582
716	117.3736063
717	117.3489286
718	117.3167521
719	117.2771716
720	117.2530577
721	117.1906271
722	117.1604569
723	117.1336625
724	117.1027813
725	117.0780232
726	117.0187309
727	117.0097449
728	116.9760934
729	116.9572306
730	116.9499477
731	116.9174763
732	116.893443
733	116.8818778
734	116.8695149
735	116.831365
736	116.8087456
737	116.7890431
738	116.7368571
739	116.7197645
740	116.7018377
741	116.6668757
742	116.6362786
743	116.6175372
744	116.5875273
745	116.5630167
746	116.5377886
747	116.5061407
748	116.4768353
749	116.4639317
750	116.4514943
751	116.4239558
752	116.3989985
753	116.3387194
754	116.3186843
755	116.3089247
756	116.3004102
757	116.2785705
758	116.2531497
759	116.235167
760	116.1978036
761	116.1698184
762	116.1142714
763	116.0887536
764	116.0575528
765	116.023493
766	116.0001646
767	115.9420488
768	115.9077563
769	115.8897832
770	115.8610216
771	115.8251259
772	115.8157295
773	115.7612758
774	115.7402716
775	115.7160821
776	115.6846656
777	115.6605866
778	115.6289323
779	115.6043336
780	115.5871942
781	115.552122
782	115.5216559
783	115.4926593
784	115.4671108
785	115.4386445
786	115.4073148
787	115.3845552
788	115.3375764
789	115.3249907
790	115.2849133
791	115.2631298
792	115.2467167
793	115.2342394
794	115.2202261
795	115.198288
796	115.1711581
797	115.1417048
798	115.1018508
799	115.0856656
800	115.0434232
801	115.0110727
802	114.970544
803	114.944903
804	114.9122064
805	114.8856913
806	114.8570047
807	114.8292078
808	114.8000951
809	114.7864727
810	114.7541897
811	114.7192076
812	114.7035306
813	114.692761
814	114.65043
815	114.6314313
816	114.6035395
817	114.5501032
818	114.5276711
819	114.5188122
820	114.4983357
821	114.46574
822	114.4431672
823	114.4112209
824	114.3832971
825	114.3586114
826	114.3297266
827	114.2627108
828	114.2323887
829	114.2110858
830	114.1893405
831	114.1591736
832	114.1215132
833	114.0866598
834	114.0685926
835	114.0442628
836	114.0149625
837	113.9936168
838	113.9703203
839	113.93062
840	113.8907054
841	113.8635512
842	113.8392279
843	113.8086668
844	113.7684655
845	113.7486582
846	113.6869311
847	113.6647421
848	113.6062886
849	113.5894923
850	113.5391894
851	113.5013924
852	113.4870787
853	113.4496912
854	113.4266577
855	113.3938186
856	113.3708685
857	113.3427747
858	113.288832
859	113.2674102
860	113.2451396
861	113.2130641
862	113.1948798
863	113.1666832
864	113.1387597
865	113.1212563
866	113.0947443
867	113.0565194
868	113.0341759
869	113.0095074
870	112.9814033
871	112.9595328
872	112.9342346
873	112.9115935
874	112.8827959
875	112.8596736
876	112.8211618
877	112.7998583
878	112.7806302
879	112.7283635
880	112.709773
881	112.6771905
882	112.6476442
883	112.6079615
884	112.581782
885	112.5532528
886	112.5281752
887	112.4998604
888	112.4797317
889	112.4603732
890	112.4401396
891	112.4052455
892	112.3867129
893	112.3536712
894	112.3240311
895	112.3074417
896	112.2836488
897	112.2658393
898	112.2370806
899	112.2159516
900	112.1943734
901	112.1804128
902	112.1591967
903	112.1328093
904	112.1016004
905	112.0609601
906	112.0348309
907	112.0186302
908	111.9943689
909	111.9738033
910	111.9412517
911	111.9144555
912	111.8963173
913	111.8724005
914	111.8487891
915	111.8145189
916	111.7897378
917	111.7805602
918	111.7414921
919	111.7217743
920	111.7025228
921	111.6936678
922	111.6671333
923	111.6541609
924	111.6264766
925	111.603077
926	111.5706085
927	111.5440686
928	111.5197514
929	111.5008611
930	111.4775506
931	111.4454967
932	111.4191114
933	111.3902251
934	111.3539241
935	111.3359394
936	111.307072
937	111.2838429
938	111.2678148
939	111.2257364
940	111.205808
941	111.1901024
942	111.1751833
943	111.1346432
944	111.1183821
945	111.0983514
946	111.0708919
947	111.0418295
948	111.0246905
949	110.9984336
950	110.9782648
951	110.9583567
952	110.938666
953	110.9083787
954	110.8650976
955	110.8502319
956	110.802214
957	110.7889761
958	110.7496108
959	110.728683
960	110.7000169
961	110.6644468
962	110.6359364
963	110.6161227
964	110.5987804
965	110.5771902
966	110.56206
967	110.5326258
968	110.4975146
969	110.4741812
970	110.4550702
971	110.4438042
972	110.4096186
973	110.3775549
974	110.369102
975	110.3488642
976	110.324954
977	110.3068307
978	110.2991084
979	110.2784627
980	110.2609941
981	110.2205484
982	110.2129917
983	110.2057313
984	110.1971082
985	110.1590854
986	110.1290066
987	110.1007632
988	110.0936364
989	110.0688632
990	110.0357897
991	110.0047814
992	109.9824887
993	109.9542559
994	109.9281013
995	109.9014484
996	109.8747021
997	109.8570111
998	109.8351869
999	109.8170664
1000	109.7885454
1001	109.7658126
1002	109.7525276
1003	109.7326807
1004	109.6979079
1005	109.6849737
1006	109.6728815
1007	109.6332119
1008	109.6103506
1009	109.5997389
1010	109.5706983
1011	109.5346955
1012	109.513589
1013	109.4898847
1014	109.4752857
1015	109.4618921
1016	109.4507166
1017	109.4312767
1018	109.4181181
1019	109.4014534
1020	109.3817744
1021	109.3742428
1022	109.3427054
1023	109.3150994
1024	109.3053125
1025	109.2869798
1026	109.2621194
1027	109.2487737
1028	109.2364537
1029	109.2208879
1030	109.193724
1031	109.181333
1032	109.1628508
1033	109.1559357
1034	109.1206462
1035	109.1124151
1036	109.0756202
1037	109.0548117
1038	109.0400877
1039	109.0156365
1040	108.988326
1041	108.9723323
1042	108.9634253
1043	108.9440718
1044	108.918494
1045	108.8955892
1046	108.8760475
1047	108.8490253
1048	108.8242403
1049	108.8097914
1050	108.7842094
1051	108.775656
1052	108.7517907
1053	108.7311406
1054	108.6997669
1055	108.6863176
1056	108.6592112
1057	108.6403582
1058	108.6130023
1059	108.597531
1060	108.5781812
1061	108.5591364
1062	108.5275501
1063	108.5175082
1064	108.5010441
1065	108.4694445
1066	108.4397333
1067	108.4213732
1068	108.3963301
1069	108.3804223
1070	108.369809
1071	108.3530535
1072	108.3367507
1073	108.32962
1074	108.3063401
1075	108.2950154
1076	108.2839765
1077	108.2530864
1078	108.2266257
1079	108.2180863
1080	108.2021804
1081	108.1859098
1082	108.1738448
1083	108.1554225
1084	108.1362122
1085	108.1252593
1086	108.0809995
1087	108.066769
1088	108.0534291
1089	108.0357429
1090	108.0216148
1091	108.0102939
1092	107.9839451
1093	107.9580757
1094	107.9460936
1095	107.910167
1096	107.8936468
1097	107.8769283
1098	107.8461058
1099	107.8328934
1100	107.8136331
1101	107.7926207
1102	107.7696367
1103	107.7423284
1104	107.7179965
1105	107.6832684
1106	107.6539309
1107	107.6416315
1108	107.6243868
1109	107.5961753
1110	107.5875382
1111	107.5566306
1112	107.5513077
1113	107.5231946
1114	107.502953
1115	107.4781748
1116	107.4598743
1117	107.4361702
1118	107.4151976
1119	107.3958412
1120	107.3844967
1121	107.3583102
1122	107.3252909
1123	107.2990969
1124	107.2810299
1125	107.2660167
1126	107.2472573
1127	107.2361104
1128	107.214923
1129	107.1949158
1130	107.1823362
1131	107.1621171
1132	107.1243675
1133	107.1092758
1134	107.0847499
1135	107.0555738
1136	107.0318622
1137	106.9927958
1138	106.981791
1139	106.9664239
1140	106.9495177
1141	106.9280442
1142	106.9039887
1143	106.8679281
1144	106.8517998
1145	106.824349
1146	106.8001071
1147	106.7826974
1148	106.7678672
1149	106.762882
1150	106.7580289
1151	106.7361564
1152	106.7237434
1153	106.7036567
1154	106.6659848
1155	106.654132
1156	106.6427311
1157	106.625496
1158	106.6137093
1159	106.6003121
1160	106.5781893
1161	106.5576117
1162	106.5272356
1163	106.4989236
1164	106.4889623
1165	106.4826456
1166	106.4474601
1167	106.413699
1168	106.3947361
1169	106.3759976
1170	106.3522785
1171	106.3363816
1172	106.3223759
1173	106.3035311
1174	106.2693724
1175	106.2514094
1176	106.2308632
1177	106.2129615
1178	106.1940756
1179	106.1803521
1180	106.1572013
1181	106.1471862
1182	106.1143477
1183	106.1021069
1184	106.0901
1185	106.0691094
1186	106.0621837
1187	106.0409057
1188	106.0300643
1189	106.0185083
1190	106.0012318
1191	105.9813508
1192	105.9559815
1193	105.9464578
1194	105.936205
1195	105.925862
1196	105.911034
1197	105.8966002
1198	105.8804466
1199	105.8639389
